GCG	GCGR
CREB3L1	CREB1
CREB3L1	ATF2
CREB3L1	CREB3L4
CREB3L1	ATF4
CREB3L1	CREB3L2
CREB3L1	CREB3L3
CREB3L1	CREB3L1
CREB3L1	CREB5
CREB3L1	PPARGC1A
CREB3L1	LOC102724428
CREB3L1	SIK1
CREB3L1	G6PC1
CREB3L1	G6PC2
CREB3L1	G6PC3
CREB3L1	PCK1
CREB3L1	PCK2
CREB3L1	CPT1C
CREB3L1	CPT1A
CREB3L1	CPT1B
CREB5	CREB3
CREB5	CREB1
CREB5	ATF2
CREB5	CREB3L4
CREB5	ATF4
CREB5	CREB3L2
CREB5	CREB3L3
CREB5	CREB3L1
CREB5	CREB5
CREB5	PPARGC1A
CREB5	LOC102724428
CREB5	SIK1
CREB5	G6PC1
CREB5	G6PC2
CREB5	G6PC3
CREB5	PCK1
CREB5	PCK2
CREB5	CPT1C
CREB5	CPT1A
CREB5	CPT1B
PPP4R3C	CRTC2
PPP4C	CRTC2
PPP4R3A	CRTC2
PPP4R3B	CRTC2
CRTC2	CRTC2
CRTC2	PPARGC1A
CRTC2	LOC102724428
CRTC2	SIK1
CRTC2	G6PC1
CRTC2	G6PC2
CRTC2	G6PC3
CRTC2	PCK1
CRTC2	PCK2
CRTC2	CPT1C
CRTC2	CPT1A
CRTC2	CPT1B
SIK2	CRTC2
CREBBP	PPARGC1A
CREBBP	LOC102724428
CREBBP	SIK1
CREBBP	G6PC1
CREBBP	G6PC2
CREBBP	G6PC3
CREBBP	PCK1
CREBBP	PCK2
CREBBP	CPT1C
CREBBP	CPT1A
CREBBP	CPT1B
EP300	PPARGC1A
EP300	LOC102724428
EP300	SIK1
EP300	G6PC1
EP300	G6PC2
EP300	G6PC3
EP300	PCK1
EP300	PCK2
EP300	CPT1C
EP300	CPT1A
EP300	CPT1B
PPARGC1A	PPARGC1A
PPARGC1A	G6PC1
PPARGC1A	G6PC2
PPARGC1A	G6PC3
PPARGC1A	PCK1
PPARGC1A	PCK2
PPARGC1A	CPT1C
PPARGC1A	CPT1A
PPARGC1A	CPT1B
FOXO1	FOXO1
FOXO1	G6PC1
FOXO1	G6PC2
FOXO1	G6PC3
FOXO1	PCK1
FOXO1	PCK2
FOXO1	CPT1C
FOXO1	CPT1A
FOXO1	CPT1B
