F2	F2R
PAK4	MYLK2
PAK4	MYLK3
BUB1B-PAK6	ARHGEF7
BUB1B-PAK6	ARHGEF6
BUB1B-PAK6	LIMK1
BUB1B-PAK6	LIMK2
BUB1B-PAK6	MYLK4
BUB1B-PAK6	MYLK
BUB1B-PAK6	MYLK2
BUB1B-PAK6	MYLK3
PAK1	ARHGEF7
PAK1	ARHGEF6
PAK1	LIMK1
PAK1	LIMK2
PAK1	MYLK4
PAK1	MYLK
PAK1	MYLK2
PAK1	MYLK3
PAK2	ARHGEF7
PAK2	ARHGEF6
PAK2	LIMK1
PAK2	LIMK2
PAK2	MYLK4
PAK2	MYLK
PAK2	MYLK2
PAK2	MYLK3
PAK3	ARHGEF7
PAK3	ARHGEF6
PAK3	LIMK1
PAK3	LIMK2
PAK3	MYLK4
PAK3	MYLK
PAK3	MYLK2
PAK3	MYLK3
PAK6	ARHGEF7
PAK6	ARHGEF6
PAK6	LIMK1
PAK6	LIMK2
PAK6	MYLK4
PAK6	MYLK
PAK6	MYLK2
PAK6	MYLK3
PAK5	ARHGEF7
PAK5	ARHGEF6
PAK5	LIMK1
PAK5	LIMK2
PAK5	MYLK4
PAK5	MYLK
PAK5	MYLK2
PAK5	MYLK3
ARHGEF7	GIT1
ARHGEF7	ARHGEF12
ARHGEF7	ARHGEF1
ARHGEF7	RAC1
ARHGEF7	RAC2
ARHGEF7	RAC3
ARHGEF6	GIT1
ARHGEF6	ARHGEF12
ARHGEF6	ARHGEF1
ARHGEF6	RAC1
ARHGEF6	RAC2
ARHGEF6	RAC3
CDC42	PAK4
CDC42	BUB1B-PAK6
CDC42	PAK1
CDC42	PAK2
CDC42	PAK3
CDC42	PAK6
CDC42	PAK5
CDC42	IQGAP2
CDC42	IQGAP3
CDC42	IQGAP1
CDC42	DIAPH3
CDC42	WASL
RAC1	IQGAP2
RAC1	IQGAP3
RAC1	IQGAP1
RAC1	BAIAP2
RAC1	PAK4
RAC1	BUB1B-PAK6
RAC1	PAK1
RAC1	PAK2
RAC1	PAK3
RAC1	PAK6
RAC1	PAK5
RAC1	ABI2
RAC1	NCKAP1
RAC1	NCKAP1L
RAC1	CYFIP1
RAC1	CYFIP2
RAC2	IQGAP2
RAC2	IQGAP3
RAC2	IQGAP1
RAC2	BAIAP2
RAC2	PAK4
RAC2	BUB1B-PAK6
RAC2	PAK1
RAC2	PAK2
RAC2	PAK3
RAC2	PAK6
RAC2	PAK5
RAC2	ABI2
RAC2	NCKAP1
RAC2	NCKAP1L
RAC2	CYFIP1
RAC2	CYFIP2
RAC3	IQGAP2
RAC3	IQGAP3
RAC3	IQGAP1
RAC3	BAIAP2
RAC3	PAK4
RAC3	BUB1B-PAK6
RAC3	PAK1
RAC3	PAK2
RAC3	PAK3
RAC3	PAK6
RAC3	PAK5
RAC3	ABI2
RAC3	NCKAP1
RAC3	NCKAP1L
RAC3	CYFIP1
RAC3	CYFIP2
RHOA	ROCK1
RHOA	ROCK2
RHOA	DIAPH1
RHOA	DIAPH2
RHOA	RAC1
RHOA	RAC2
RHOA	RAC3
ARHGEF12	RHOA
ARHGEF1	RHOA
ARHGAP35	RHOA
VAV3	P3R3URF-PIK3R3
VAV3	PIK3CA
VAV3	PIK3CB
VAV3	PIK3CD
VAV3	PIK3R1
VAV3	PIK3R2
VAV3	PIK3R3
VAV3	RAC1
VAV3	RAC2
VAV3	RAC3
TIAM1	P3R3URF-PIK3R3
TIAM1	PIK3CA
TIAM1	PIK3CB
TIAM1	PIK3CD
TIAM1	PIK3R1
TIAM1	PIK3R2
TIAM1	PIK3R3
TIAM1	RAC1
TIAM1	RAC2
TIAM1	RAC3
VAV1	P3R3URF-PIK3R3
VAV1	PIK3CA
VAV1	PIK3CB
VAV1	PIK3CD
VAV1	PIK3R1
VAV1	PIK3R2
VAV1	PIK3R3
VAV1	RAC1
VAV1	RAC2
VAV1	RAC3
VAV2	P3R3URF-PIK3R3
VAV2	PIK3CA
VAV2	PIK3CB
VAV2	PIK3CD
VAV2	PIK3R1
VAV2	PIK3R2
VAV2	PIK3R3
VAV2	RAC1
VAV2	RAC2
VAV2	RAC3
MAPK1	ROCK1
MAPK1	ROCK2
MAPK3	ROCK1
MAPK3	ROCK2
MAP2K1	MAPK1
MAP2K1	MAPK3
MAP2K2	MAPK1
MAP2K2	MAPK3
ARAF	MAP2K1
ARAF	MAP2K2
MOS	MAP2K1
MOS	MAP2K2
RAF1	MAP2K1
RAF1	MAP2K2
BRAF	MAP2K1
BRAF	MAP2K2
DOCK1	RAC1
DOCK1	RAC2
DOCK1	RAC3
FGD1	CDC42
FGD3	CDC42
GNG12	FGD1
GNG12	FGD3
GNG12	PAK4
GNG12	BUB1B-PAK6
GNG12	PAK1
GNG12	PAK2
GNG12	PAK3
GNG12	PAK6
GNG12	PAK5
CRK	DOCK1
CRKL	DOCK1
BCAR1	DOCK1
PTK2	DOCK1
CHRM1	GNG12
CHRM2	GNG12
CHRM3	GNG12
CHRM4	GNG12
CHRM5	GNG12
BDKRB1	GNG12
BDKRB2	GNG12
SRC	ARHGAP35
ITGA11	SRC
ITGA11	CRK
ITGA11	CRKL
ITGA11	BCAR1
ITGA11	PTK2
ITGA6	SRC
ITGA6	CRK
ITGA6	CRKL
ITGA6	BCAR1
ITGA6	PTK2
ITGA1	SRC
ITGA1	CRK
ITGA1	CRKL
ITGA1	BCAR1
ITGA1	PTK2
ITGA2	SRC
ITGA2	CRK
ITGA2	CRKL
ITGA2	BCAR1
ITGA2	PTK2
ITGA2B	SRC
ITGA2B	CRK
ITGA2B	CRKL
ITGA2B	BCAR1
ITGA2B	PTK2
ITGA3	SRC
ITGA3	CRK
ITGA3	CRKL
ITGA3	BCAR1
ITGA3	PTK2
ITGA4	SRC
ITGA4	CRK
ITGA4	CRKL
ITGA4	BCAR1
ITGA4	PTK2
ITGA5	SRC
ITGA5	CRK
ITGA5	CRKL
ITGA5	BCAR1
ITGA5	PTK2
ITGA7	SRC
ITGA7	CRK
ITGA7	CRKL
ITGA7	BCAR1
ITGA7	PTK2
ITGA9	SRC
ITGA9	CRK
ITGA9	CRKL
ITGA9	BCAR1
ITGA9	PTK2
ITGAD	SRC
ITGAD	CRK
ITGAD	CRKL
ITGAD	BCAR1
ITGAD	PTK2
ITGAE	SRC
ITGAE	CRK
ITGAE	CRKL
ITGAE	BCAR1
ITGAE	PTK2
ITGAL	SRC
ITGAL	CRK
ITGAL	CRKL
ITGAL	BCAR1
ITGAL	PTK2
ITGAM	SRC
ITGAM	CRK
ITGAM	CRKL
ITGAM	BCAR1
ITGAM	PTK2
ITGAV	SRC
ITGAV	CRK
ITGAV	CRKL
ITGAV	BCAR1
ITGAV	PTK2
ITGAX	SRC
ITGAX	CRK
ITGAX	CRKL
ITGAX	BCAR1
ITGAX	PTK2
ITGB1	SRC
ITGB1	CRK
ITGB1	CRKL
ITGB1	BCAR1
ITGB1	PTK2
ITGB2	SRC
ITGB2	CRK
ITGB2	CRKL
ITGB2	BCAR1
ITGB2	PTK2
ITGB3	SRC
ITGB3	CRK
ITGB3	CRKL
ITGB3	BCAR1
ITGB3	PTK2
ITGB4	SRC
ITGB4	CRK
ITGB4	CRKL
ITGB4	BCAR1
ITGB4	PTK2
ITGB5	SRC
ITGB5	CRK
ITGB5	CRKL
ITGB5	BCAR1
ITGB5	PTK2
ITGB6	SRC
ITGB6	CRK
ITGB6	CRKL
ITGB6	BCAR1
ITGB6	PTK2
ITGB7	SRC
ITGB7	CRK
ITGB7	CRKL
ITGB7	BCAR1
ITGB7	PTK2
ITGB8	SRC
ITGB8	CRK
ITGB8	CRKL
ITGB8	BCAR1
ITGB8	PTK2
ITGA10	SRC
ITGA10	CRK
ITGA10	CRKL
ITGA10	BCAR1
ITGA10	PTK2
ITGA8	SRC
ITGA8	CRK
ITGA8	CRKL
ITGA8	BCAR1
ITGA8	PTK2
FN1	ITGA11
FN1	ITGA6
FN1	ITGA1
FN1	ITGA2
FN1	ITGA2B
FN1	ITGA3
FN1	ITGA4
FN1	ITGA5
FN1	ITGA7
FN1	ITGA9
FN1	ITGAD
FN1	ITGAE
FN1	ITGAL
FN1	ITGAM
FN1	ITGAV
FN1	ITGAX
FN1	ITGB1
FN1	ITGB2
FN1	ITGB3
FN1	ITGB4
FN1	ITGB5
FN1	ITGB6
FN1	ITGB7
FN1	ITGB8
FN1	ITGA10
FN1	ITGA8
RRAS2	ARAF
RRAS2	MOS
RRAS2	RAF1
RRAS2	BRAF
RRAS2	P3R3URF-PIK3R3
RRAS2	PIK3CA
RRAS2	PIK3CB
RRAS2	PIK3CD
RRAS2	PIK3R1
RRAS2	PIK3R2
RRAS2	PIK3R3
RRAS2	ARHGEF6
MRAS	ARAF
MRAS	MOS
MRAS	RAF1
MRAS	BRAF
MRAS	P3R3URF-PIK3R3
MRAS	PIK3CA
MRAS	PIK3CB
MRAS	PIK3CD
MRAS	PIK3R1
MRAS	PIK3R2
MRAS	PIK3R3
MRAS	ARHGEF6
HRAS	ARAF
HRAS	MOS
HRAS	RAF1
HRAS	BRAF
HRAS	P3R3URF-PIK3R3
HRAS	PIK3CA
HRAS	PIK3CB
HRAS	PIK3CD
HRAS	PIK3R1
HRAS	PIK3R2
HRAS	PIK3R3
HRAS	ARHGEF6
KRAS	ARAF
KRAS	MOS
KRAS	RAF1
KRAS	BRAF
KRAS	P3R3URF-PIK3R3
KRAS	PIK3CA
KRAS	PIK3CB
KRAS	PIK3CD
KRAS	PIK3R1
KRAS	PIK3R2
KRAS	PIK3R3
KRAS	ARHGEF6
NRAS	ARAF
NRAS	MOS
NRAS	RAF1
