TNF	TNFRSF1A
H2AB3	AIFM1
H2AB3	PPIA
H2AC12	AIFM1
H2AC12	PPIA
H2AC11	AIFM1
H2AC11	PPIA
H2AC25	AIFM1
H2AC25	PPIA
H2AZ2	AIFM1
H2AZ2	PPIA
MACROH2A1	AIFM1
MACROH2A1	PPIA
BAX	AIFM1
BCL2	BAX
CAMK2A	SLC25A4
CAMK2A	SLC25A5
CAMK2A	SLC25A6
CAMK2A	SLC25A31
CAMK2A	VDAC1
CAMK2A	VDAC2
CAMK2A	VDAC3
CAMK2A	PPID
CAMK2B	SLC25A4
CAMK2B	SLC25A5
CAMK2B	SLC25A6
CAMK2B	SLC25A31
CAMK2B	VDAC1
CAMK2B	VDAC2
CAMK2B	VDAC3
CAMK2B	PPID
CAMK2D	SLC25A4
CAMK2D	SLC25A5
CAMK2D	SLC25A6
CAMK2D	SLC25A31
CAMK2D	VDAC1
CAMK2D	VDAC2
CAMK2D	VDAC3
CAMK2D	PPID
CAMK2G	SLC25A4
CAMK2G	SLC25A5
CAMK2G	SLC25A6
CAMK2G	SLC25A31
CAMK2G	VDAC1
CAMK2G	VDAC2
CAMK2G	VDAC3
CAMK2G	PPID
CYBB	CAMK2A
CYBB	CAMK2B
CYBB	CAMK2D
CYBB	CAMK2G
RNF103-CHMP3	MLKL
CHMP4B	MLKL
CHMP2B	MLKL
VPS4A	MLKL
CHMP2A	MLKL
CHMP4A	MLKL
CHMP1A	MLKL
CHMP5	MLKL
CHMP3	MLKL
CHMP1B	MLKL
CHMP6	MLKL
CHMP7	MLKL
CHMP4C	MLKL
VPS4B	MLKL
SQSTM1	RIPK1
VDAC1	SLC25A4
VDAC1	SLC25A5
VDAC1	SLC25A6
VDAC1	SLC25A31
VDAC2	SLC25A4
VDAC2	SLC25A5
VDAC2	SLC25A6
VDAC2	SLC25A31
VDAC3	SLC25A4
VDAC3	SLC25A5
VDAC3	SLC25A6
VDAC3	SLC25A31
PPID	SLC25A4
PPID	SLC25A5
PPID	SLC25A6
PPID	SLC25A31
