DRD1	GNAS
PPP1CA	GRIN3A
PPP1CA	GRIN3B
PPP1CA	GRIN1
PPP1CA	GRIN2A
PPP1CA	GRIN2B
PPP1CA	GRIN2C
PPP1CA	GRIN2D
PPP1CB	GRIN3A
PPP1CB	GRIN3B
PPP1CB	GRIN1
PPP1CB	GRIN2A
PPP1CB	GRIN2B
PPP1CB	GRIN2C
PPP1CB	GRIN2D
PPP1CC	GRIN3A
PPP1CC	GRIN3B
PPP1CC	GRIN1
PPP1CC	GRIN2A
PPP1CC	GRIN2B
PPP1CC	GRIN2C
PPP1CC	GRIN2D
GNAS	ADCY5
PPP1R1B	PPP1CA
PPP1R1B	PPP1CB
PPP1R1B	PPP1CC
PRKACA	PPP1R1B
PRKACA	GRIN3A
PRKACA	GRIN3B
PRKACA	GRIN1
PRKACA	GRIN2A
PRKACA	GRIN2B
PRKACA	GRIN2C
PRKACA	GRIN2D
PRKACA	CREB3
PRKACA	CREB1
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	CREB3L4
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L3
PRKACA	CREB3L1
PRKACA	CREB5
PRKACB	PPP1R1B
PRKACB	GRIN3A
PRKACB	GRIN3B
PRKACB	GRIN1
PRKACB	GRIN2A
PRKACB	GRIN2B
PRKACB	GRIN2C
PRKACB	GRIN2D
PRKACB	CREB3
PRKACB	CREB1
PRKACB	ATF2
PRKACB	ATF6B
PRKACB	CREB3L4
PRKACB	ATF4
PRKACB	CREB3L2
PRKACB	CREB3L3
PRKACB	CREB3L1
PRKACB	CREB5
PRKACG	PPP1R1B
PRKACG	GRIN3A
PRKACG	GRIN3B
PRKACG	GRIN1
PRKACG	GRIN2A
PRKACG	GRIN2B
PRKACG	GRIN2C
PRKACG	GRIN2D
PRKACG	CREB3
PRKACG	CREB1
PRKACG	ATF2
PRKACG	ATF6B
PRKACG	CREB3L4
PRKACG	ATF4
PRKACG	CREB3L2
PRKACG	CREB3L3
PRKACG	CREB3L1
PRKACG	CREB5
CREB3	CRH
CREB3	NPY
CREB3	BDNF
CREB3	FOSB
CREB1	CRH
CREB1	NPY
CREB1	BDNF
CREB1	FOSB
ATF2	CRH
ATF2	NPY
ATF2	BDNF
ATF2	FOSB
ATF6B	CRH
ATF6B	NPY
ATF6B	BDNF
ATF6B	FOSB
CREB3L4	CRH
CREB3L4	NPY
CREB3L4	BDNF
CREB3L4	FOSB
ATF4	CRH
ATF4	NPY
ATF4	BDNF
ATF4	FOSB
CREB3L2	CRH
CREB3L2	NPY
CREB3L2	BDNF
CREB3L2	FOSB
CREB3L3	CRH
CREB3L3	NPY
CREB3L3	BDNF
CREB3L3	FOSB
CREB3L1	CRH
CREB3L1	NPY
CREB3L1	BDNF
CREB3L1	FOSB
CREB5	CRH
CREB5	NPY
CREB5	BDNF
CREB5	FOSB
CAMK4	CREB3
CAMK4	CREB1
CAMK4	ATF2
CAMK4	ATF6B
CAMK4	CREB3L4
CAMK4	ATF4
CAMK4	CREB3L2
CAMK4	CREB3L3
CAMK4	CREB3L1
CAMK4	CREB5
HDAC6	H2AL3
HDAC6	H2AC1
HDAC6	H2AC8
HDAC6	H2AC7
HDAC6	H2AX
HDAC6	H2AZ1
HDAC6	H2AC21
HDAC6	H2AB2
HDAC6	H2AB1
HDAC6	MACROH2A2
HDAC6	H2AJ
HDAC6	H2AC19
HDAC6	H2AC13
HDAC6	H2AC15
HDAC6	H2AC14
HDAC6	H2AC16
HDAC6	H2AC6
HDAC6	H2AC4
HDAC6	H2AC17
HDAC6	H2AC18
HDAC6	H2AC20
HDAC6	H2AB3
HDAC6	H2AC12
HDAC6	H2AC11
HDAC6	H2AC25
HDAC6	H2AZ2
HDAC6	MACROH2A1
HDAC6	LOC102724334
HDAC6	H2BK1
HDAC6	H2BC26
HDAC6	H2BW1
HDAC6	H2BC1
HDAC6	H2BW2
HDAC6	H2BC5
HDAC6	H2BC3
HDAC6	H2BC18
HDAC6	H2BC12L
HDAC6	H2BC8
HDAC6	H2BC13
HDAC6	H2BC15
HDAC6	H2BC14
HDAC6	H2BC7
HDAC6	H2BC6
HDAC6	H2BC9
HDAC6	H2BC10
HDAC6	H2BC4
HDAC6	H2BC17
HDAC6	H2BC21
HDAC6	H2BC12
HDAC6	H2BC11
HDAC5	H2AL3
HDAC5	H2AC1
HDAC5	H2AC8
HDAC5	H2AC7
HDAC5	H2AX
HDAC5	H2AZ1
HDAC5	H2AC21
HDAC5	H2AB2
HDAC5	H2AB1
HDAC5	MACROH2A2
HDAC5	H2AJ
HDAC5	H2AC19
HDAC5	H2AC13
HDAC5	H2AC15
HDAC5	H2AC14
HDAC5	H2AC16
HDAC5	H2AC6
HDAC5	H2AC4
HDAC5	H2AC17
HDAC5	H2AC18
HDAC5	H2AC20
HDAC5	H2AB3
HDAC5	H2AC12
HDAC5	H2AC11
HDAC5	H2AC25
HDAC5	H2AZ2
HDAC5	MACROH2A1
HDAC5	LOC102724334
HDAC5	H2BK1
HDAC5	H2BC26
HDAC5	H2BW1
HDAC5	H2BC1
HDAC5	H2BW2
HDAC5	H2BC5
HDAC5	H2BC3
HDAC5	H2BC18
HDAC5	H2BC12L
HDAC5	H2BC8
HDAC5	H2BC13
HDAC5	H2BC15
HDAC5	H2BC14
HDAC5	H2BC7
HDAC5	H2BC6
HDAC5	H2BC9
HDAC5	H2BC10
HDAC5	H2BC4
HDAC5	H2BC17
HDAC5	H2BC21
HDAC5	H2BC12
HDAC5	H2BC11
HDAC1	H2AL3
HDAC1	H2AC1
