ERO1A	PDIA4
GNAS	ADCY3
GNAS	ADCY9
KCNQ1	PRKACA
KCNQ1	PRKACB
KCNQ1	PRKACG
KCNQ1	SLC12A2
KCNQ1	ADCY3
KCNQ1	ADCY9
PRKCA	PLCG1
PRKCA	PLCG2
PRKCA	ACTB
PRKCA	ACTG1
SLC12A2	PRKACA
SLC12A2	PRKACB
SLC12A2	PRKACG
SLC12A2	ADCY3
SLC12A2	ADCY9
PRKACA	ADCY3
PRKACA	ADCY9
PRKACA	CFTR
PRKACB	ADCY3
PRKACB	ADCY9
PRKACB	CFTR
PRKACG	ADCY3
PRKACG	ADCY9
PRKACG	CFTR
