Gene1	Gene2	Annotation	Direction	Score
A1CF	APOBEC1	catalyzed by; complex; input	<-	1.00
A1CF	CELF2	predicted	-	0.90
A1CF	EP300	expression regulated by	<-	1.00
A1CF	RBM47	predicted	-	0.89
A2M	APOA1	inhibit	-|	1.00
A2M	BMP1	inhibit	-|	1.00
A2M	KLKB1	complex; input	-	1.00
A2M	MMP1	complex; input	-	1.00
A2M	MMP13	complex; input	-	1.00
A2M	MMP3	complex; input	-	1.00
A2M	NFKB1	expression regulated by	<-	1.00
A2M	PROC	PPrel: inhibition	-|	1.00
A2M	RELA	expression regulated by	<-	1.00
A2M	STAT1	expression regulated by	<-	1.00
A2M	STAT3	expression regulated by	<-	1.00
A4GNT	MUC1	catalyze	->	1.00
A4GNT	MUC12	catalyze	->	1.00
A4GNT	MUC13	catalyze	->	1.00
A4GNT	MUC15	catalyze	->	1.00
A4GNT	MUC16	catalyze	->	1.00
A4GNT	MUC17	catalyze	->	1.00
A4GNT	MUC19	catalyze	->	1.00
A4GNT	MUC2	catalyze	->	1.00
A4GNT	MUC20	catalyze	->	1.00
A4GNT	MUC21	catalyze	->	1.00
A4GNT	MUC3A	catalyze	->	1.00
A4GNT	MUC3B	catalyze	->	1.00
A4GNT	MUC4	catalyze	->	1.00
A4GNT	MUC5AC	catalyze	->	1.00
A4GNT	MUC5B	catalyze	->	1.00
A4GNT	MUC6	catalyze	->	1.00
A4GNT	MUC7	catalyze	->	1.00
A4GNT	MUCL1	catalyze	->	1.00
A4GNT	POMGNT1	predicted	-	0.91
AAAS	AGO2	catalyze	->	1.00
AAAS	ALYREF	activate; complex; input	->	1.00
AAAS	AURKB	catalyze	->	1.00
AAAS	BANF1	complex; input	-	1.00
AAAS	BIRC5	catalyze	->	1.00
AAAS	CASC3	activate; complex; input	->	1.00
AAAS	CCNB1	catalyzed by	<-	1.00
AAAS	CCNB2	catalyzed by	<-	1.00
AAAS	CDC40	activate; input	->	1.00
AAAS	CDCA8	catalyze	->	1.00
AAAS	CDK1	catalyzed by	<-	1.00
AAAS	CHTOP	activate; input	->	1.00
AAAS	CPSF1	activate	->	1.00
AAAS	CPSF2	activate	->	1.00
AAAS	CPSF3	activate	->	1.00
AAAS	CPSF4	activate	->	1.00
AAAS	DDX20	activate	->	1.00
AAAS	DHX38	activate; input	->	1.00
AAAS	DYNC1H1	input	-	1.00
AAAS	DYNC1I1	input	-	1.00
AAAS	DYNC1I2	input	-	1.00
AAAS	DYNC1LI1	input	-	1.00
AAAS	DYNC1LI2	input	-	1.00
AAAS	DYNLL1	input	-	1.00
AAAS	DYNLL2	input	-	1.00
AAAS	EIF4A3	activate; complex; input	->	1.00
AAAS	EIF4E	activate	->	1.00
AAAS	FIP1L1	activate	->	1.00
AAAS	GCK	catalyze	->	1.00
AAAS	GCKR	catalyze	->	1.00
AAAS	GEMIN2	activate	->	1.00
AAAS	GEMIN4	activate	->	1.00
AAAS	GEMIN5	activate	->	1.00
AAAS	GEMIN6	activate	->	1.00
AAAS	GEMIN7	activate	->	1.00
AAAS	GEMIN8	activate	->	1.00
AAAS	GLE1	reaction	-	1.00
AAAS	HDAC4	catalyze	->	1.00
AAAS	HIKESHI	catalyze	->	1.00
AAAS	HMGA1	complex; input	-	1.00
AAAS	HNRNPC	catalyze	->	1.00
AAAS	HSPA1B	catalyze	->	1.00
AAAS	INCENP	catalyze	->	1.00
AAAS	IPO8	catalyze	->	1.00
AAAS	IRF3	inhibite	-|	1.00
AAAS	IRF7	inhibite	-|	1.00
AAAS	ISG15	inhibited by	|-	1.00
AAAS	KPNA1	activate; catalyze	->	1.00
AAAS	KPNA2	catalyze; reaction	->	1.00
AAAS	KPNA3	catalyze	->	1.00
AAAS	KPNA4	catalyze	->	1.00
AAAS	KPNA5	catalyze	->	1.00
AAAS	KPNA7	catalyze	->	1.00
AAAS	KPNB1	activate; catalyze; complex; input	->	1.00
AAAS	MAGOH	activate; complex; input	->	1.00
AAAS	MAGOHB	activate; complex; input	->	1.00
AAAS	MDM2	catalyze	->	1.00
AAAS	NCBP1	activate; complex; input	->	1.00
AAAS	NCBP2	activate; complex; input	->	1.00
AAAS	NDC1	complex; input	-	1.00
AAAS	NEK6	catalyzed by	<-	1.00
AAAS	NEK9	catalyzed by	<-	1.00
AAAS	NPM1	complex; input	-	1.00
AAAS	NUP107	complex; input	-	1.00
AAAS	NUP133	complex; input	-	1.00
AAAS	NUP153	complex; input	-	1.00
AAAS	NUP155	complex; input	-	1.00
AAAS	NUP160	complex; input	-	1.00
AAAS	NUP188	complex; input	-	1.00
AAAS	NUP205	complex; input	-	1.00
AAAS	NUP210	complex; input	-	1.00
AAAS	NUP214	complex; input	-	1.00
AAAS	NUP35	complex; input	-	1.00
AAAS	NUP37	complex; input	-	1.00
AAAS	NUP42	complex; input	-	1.00
AAAS	NUP43	complex; input	-	1.00
AAAS	NUP50	complex; input	-	1.00
AAAS	NUP54	complex; input	-	1.00
AAAS	NUP58	complex; input	-	1.00
AAAS	NUP62	complex; input	-	1.00
AAAS	NUP85	complex; input	-	1.00
AAAS	NUP88	complex; input	-	1.00
AAAS	NUP93	complex; input	-	1.00
AAAS	NUP98	complex; input	-	1.00
AAAS	NXF1	activate; complex; input	->	1.00
AAAS	NXF2	activate; complex; input	->	1.00
AAAS	NXT1	activate; complex; input	->	1.00
AAAS	PHAX	activate	->	1.00
AAAS	PIAS3	reaction	-	1.00
AAAS	PML	catalyze	->	1.00
AAAS	POLDIP3	activate; complex; input	->	1.00
AAAS	POM121	complex; input	-	1.00
AAAS	POM121C	complex; input	-	1.00
AAAS	PSIP1	complex; input	-	1.00
AAAS	RAE1	complex; input	-	1.00
AAAS	RAN	activate; catalyze; complex; input	->	1.00
AAAS	RANBP2	catalyze; complex; input	->	1.00
AAAS	RANGAP1	complex	-	1.00
AAAS	RBM8A	activate; complex; input	->	1.00
AAAS	RNPS1	activate; complex; input	->	1.00
AAAS	SARNP	activate; input	->	1.00
AAAS	SEC13	complex; input	-	1.00
AAAS	SEH1L	complex; input	-	1.00
AAAS	SLBP	activate	->	1.00
AAAS	SLU7	activate; input	->	1.00
AAAS	SMN1	activate	->	1.00
AAAS	SNRPB	activate	->	1.00
AAAS	SNRPD1	activate	->	1.00
AAAS	SNRPD2	activate	->	1.00
AAAS	SNRPD3	activate	->	1.00
AAAS	SNRPE	activate	->	1.00
AAAS	SNRPF	activate	->	1.00
AAAS	SNRPG	activate	->	1.00
AAAS	SNUPN	activate	->	1.00
AAAS	SP100	catalyze	->	1.00
AAAS	SRRM1	activate; complex; input	->	1.00
AAAS	SRSF1	activate; input	->	1.00
AAAS	SRSF11	activate; input	->	1.00
AAAS	SRSF2	activate; input	->	1.00
AAAS	SRSF3	activate; input	->	1.00
AAAS	SRSF4	activate; input	->	1.00
AAAS	SRSF5	activate; input	->	1.00
AAAS	SRSF6	activate; input	->	1.00
AAAS	SRSF7	activate; input	->	1.00
AAAS	SRSF9	activate; input	->	1.00
AAAS	SUMO1	catalyze	->	1.00
AAAS	SUMO2	catalyze	->	1.00
AAAS	SUMO3	catalyze	->	1.00
AAAS	SYMPK	activate	->	1.00
AAAS	THOC1	activate; input	->	1.00
AAAS	THOC2	activate; input	->	1.00
AAAS	THOC3	activate; input	->	1.00
AAAS	THOC5	activate; input	->	1.00
AAAS	THOC6	activate; input	->	1.00
AAAS	THOC7	activate; input	->	1.00
AAAS	TOP2A	catalyze	->	1.00
AAAS	TPR	complex; input	-	1.00
AAAS	U2AF1	activate; input	->	1.00
AAAS	U2AF1L4	activate; input	->	1.00
AAAS	U2AF2	activate; input	->	1.00
AAAS	UBE2I	catalyze; complex	->	1.00
AAAS	UPF3B	activate; complex; input	->	1.00
AAAS	WDR33	activate	->	1.00
AAAS	XPO1	activate; complex; input	->	1.00
AAAS	XPOT	catalyze	->	1.00
AAAS	ZC3H11A	activate; input	->	1.00
AADAT	GOT1	predicted	-	0.92
AAG1	CASP1	activated by	<-	1.00
AAG1	CASP10	activated by	<-	1.00
AAG1	CASP2	activated by	<-	1.00
AAG1	CASP3	activated by	<-	1.00
AAG1	CASP5	activated by	<-	1.00
AAG1	CASP6	activated by	<-	1.00
AAG1	CASP7	activated by	<-	1.00
AAG1	CASP8	activated by	<-	1.00
AAG1	CASPASE-9C	activated by	<-	1.00
AAG1	EIF1	reaction	-	1.00
AAG1	EIF2S1	complex; reaction	-	1.00
AAG1	EIF2S2	complex; input	-	1.00
AAG1	EIF2S3	complex; input	-	1.00
AAG1	EIF3A	complex; input	-	1.00
AAG1	EIF4A1	PPrel: binding/association; complex; input	-	1.00
AAG1	EIF4A2	PPrel: binding/association; complex	-	1.00
AAG1	EIF4E	PPrel: binding/association; complex; input	-	1.00
AAG1	EIF4E1B	PPrel: binding/association	-	1.00
AAG1	EIF4E2	PPrel: binding/association	-	1.00
AAG1	EIF4G1	complex	-	1.00
AAG1	PTBP1	complex; input	-	1.00
AAK1	ACTR2	complex; input	-	1.00
AAK1	ACTR3	complex; input	-	1.00
AAK1	ADRB2	complex; input	-	1.00
AAK1	AGFG1	complex; input	-	1.00
AAK1	AMPH	complex; input	-	1.00
AAK1	AP2A1	complex; input	-	1.00
AAK1	AP2A2	complex; input	-	1.00
AAK1	AP2B1	complex; input	-	1.00
AAK1	AP2M1	complex; input	-	1.00
AAK1	AP2S1	complex; input	-	1.00
AAK1	APOB	complex; input	-	1.00
AAK1	AREG	complex; input	-	1.00
AAK1	ARF6	activated by	<-	1.00
AAK1	ARFGAP1	activated by	<-	1.00
AAK1	ARPC1A	complex; input	-	1.00
AAK1	ARPC2	complex; input	-	1.00
AAK1	ARPC3	complex; input	-	1.00
AAK1	ARPC4	complex; input	-	1.00
AAK1	ARPC5	complex; input	-	1.00
AAK1	ARRB1	complex; input	-	1.00
AAK1	ARRB2	complex; input	-	1.00
AAK1	AVP	complex; input	-	1.00
AAK1	AVPR2	complex; input	-	1.00
AAK1	BIN1	complex; input	-	1.00
AAK1	BTC	complex; input	-	1.00
AAK1	CBL	complex; input	-	1.00
AAK1	CD3D	complex; input	-	1.00
AAK1	CD3G	complex; input	-	1.00
AAK1	CD4	complex; input	-	1.00
AAK1	CFTR	complex; input	-	1.00
AAK1	CHRM2	complex; input	-	1.00
AAK1	CLTA	complex; input	-	1.00
AAK1	CLTB	complex; input	-	1.00
AAK1	CLTC	complex; input	-	1.00
AAK1	CLTCL1	complex; input	-	1.00
AAK1	CTTN	complex; input	-	1.00
AAK1	DAB2	complex; input	-	1.00
AAK1	DNAJC6	complex; input	-	1.00
AAK1	DNM2	complex; input	-	1.00
AAK1	DVL2	complex; input	-	1.00
AAK1	EGF	complex; input	-	1.00
AAK1	EGFR	complex; input	-	1.00
AAK1	EPGN	complex; input	-	1.00
AAK1	EPN1	complex; inhibited by; input	|-	1.00
AAK1	EPN2	complex; inhibited by; input	|-	1.00
AAK1	EPS15	complex; inhibited by; input	|-	1.00
AAK1	EPS15L1	complex; input	-	1.00
AAK1	EREG	complex; input	-	1.00
AAK1	FCHO1	complex; input	-	1.00
AAK1	FCHO2	complex; input	-	1.00
AAK1	FNBP1	complex; input	-	1.00
AAK1	FNBP1L	complex; input	-	1.00
AAK1	FZD4	complex; input	-	1.00
AAK1	GAK	complex; input	-	1.00
AAK1	GAPVD1	complex; input	-	1.00
AAK1	GRB2	complex; input	-	1.00
AAK1	HBEGF	complex; input	-	1.00
AAK1	HGS	complex; input	-	1.00
AAK1	HIP1	complex; input	-	1.00
AAK1	HIP1R	complex; input	-	1.00
AAK1	HSPA8	complex; input	-	1.00
AAK1	IGF2R	complex; input	-	1.00
AAK1	IL7R	complex; input	-	1.00
AAK1	ITSN1	complex; input	-	1.00
AAK1	KIAA0319	complex; input	-	1.00
AAK1	LDLR	complex; input	-	1.00
AAK1	LDLRAP1	complex; input	-	1.00
AAK1	LRP2	complex; input	-	1.00
AAK1	M6PR	complex; input	-	1.00
AAK1	NECAP1	complex; input	-	1.00
AAK1	OCRL	complex; input	-	1.00
AAK1	PACSIN2	complex; input	-	1.00
AAK1	PICALM	complex; input	-	1.00
AAK1	PIK3C2A	complex; input	-	1.00
AAK1	RAB5A	complex; input	-	1.00
AAK1	REPS1	complex; input	-	1.00
AAK1	REPS2	complex; input	-	1.00
AAK1	RPS27A	complex; input	-	1.00
AAK1	SCARB2	complex; input	-	1.00
AAK1	SGIP1	complex; input	-	1.00
AAK1	SH3GL2	complex; input	-	1.00
AAK1	SH3KBP1	complex; input	-	1.00
AAK1	SLC18A3	complex; input	-	1.00
AAK1	SLC2A8	complex; input	-	1.00
AAK1	SNX9	complex; input	-	1.00
AAK1	STAM	complex; input	-	1.00
AAK1	STAM2	complex; input	-	1.00
AAK1	STON2	complex; input	-	1.00
AAK1	SYNJ1	complex; input	-	1.00
AAK1	SYNJ2	complex; input	-	1.00
AAK1	SYT1	complex; input	-	1.00
AAK1	SYT2	complex; input	-	1.00
AAK1	SYT9	complex; input	-	1.00
AAK1	TF	complex; input	-	1.00
AAK1	TFRC	complex; input	-	1.00
AAK1	TGFA	complex; input	-	1.00
AAK1	TGOLN2	complex; input	-	1.00
AAK1	TRIP10	complex; input	-	1.00
AAK1	UBA52	complex; input	-	1.00
AAK1	UBB	complex; input	-	1.00
AAK1	UBC	complex; input	-	1.00
AAK1	UBQLN2	inhibited by	|-	1.00
AAK1	VAMP2	complex; input	-	1.00
AAK1	VAMP3	complex; input	-	1.00
AAK1	VAMP4	complex; input	-	1.00
AAK1	VAMP7	complex; input	-	1.00
AAK1	VAMP8	complex; input	-	1.00
AAK1	WASL	complex; input	-	1.00
AAK1	WNK2	predicted	-	0.90
AAK1	WNT5A	complex; input	-	1.00
AAMP	EGFR	complex; input	-	1.00
AAMP	NOD2	complex; input	-	1.00
AAMP	TBXA2R	complex; input	-	1.00
AAR2	CD2BP2	predicted	-	0.94
AAR2	PLRG1	predicted	-	0.90
AAR2	PRPF19	predicted	-	0.94
AAR2	PRPF6	predicted	-	0.91
AAR2	PRPF8	predicted	-	0.94
AAR2	TSSC4	predicted	-	0.93
AARS1	CEBPB	expression regulated by	<-	1.00
AARS1	HSP90AA1	predicted	-	0.91
AARS1	IARS1	predicted	-	0.93
AARS1	LARS1	predicted	-	0.92
AARS1	SOD1	predicted	-	0.90
AARS2	DARS2	predicted	-	0.90
AARS2	IARS2	predicted	-	0.92
AARS2	PPA2	predicted	-	0.90
AARS2	TARS2	predicted	-	0.94
AARSD1	ARPC1A	predicted	-	0.90
AASDHPPT	FASN	catalyze	->	1.00
AATF	ABT1	predicted	-	0.91
AATF	BYSL	predicted	-	0.95
AATF	E2F1	complex; input	-	1.00
AATF	E2F2	complex; input	-	1.00
AATF	E2F3	complex; input	-	1.00
AATF	E2F6	expression regulated by	<-	1.00
AATF	ELF1	expression regulated by	<-	1.00
AATF	ESF1	predicted	-	0.93
AATF	HDAC1	input	-	1.00
AATF	MAGED1	complex; input	-	1.00
AATF	MAX	expression regulated by	<-	1.00
AATF	NCL	predicted	-	0.91
AATF	NGDN	predicted	-	0.94
AATF	NGF	complex; input	-	1.00
AATF	NGFR	complex; input	-	1.00
AATF	NOL10	predicted	-	0.95
AATF	NOP14	predicted	-	0.89
AATF	PA2G4	predicted	-	0.89
AATF	RB1	complex; input	-	1.00
AATF	RPS3	predicted	-	0.91
AATF	RPS3A	predicted	-	0.91
AATF	RPS6	predicted	-	0.91
AATF	RPSA	predicted	-	0.91
AATF	RRP12	predicted	-	0.90
AATF	RRP1B	predicted	-	0.93
AATF	TFDP1	complex; input	-	1.00
AATF	USF1	expression regulated by	<-	1.00
AATF	UTP14A	predicted	-	0.90
AATF	XPO1	predicted	-	0.91
ABAT	ALDH5A1	predicted	-	0.95
ABAT	GOT2	predicted	-	0.93
ABCA1	APOA1	PPrel: binding/association; complex; input	-	1.00
ABCA1	JUN	expression regulated by	<-	1.00
ABCA1	NR1H2	complex; input	-	1.00
ABCA1	PRKACA	catalyzed by	<-	1.00
ABCA1	PRKACB	catalyzed by	<-	1.00
ABCA1	PRKACG	catalyzed by	<-	1.00
ABCA1	RXRA	complex; input	-	1.00
ABCA1	SP3	expression regulated by	<-	1.00
ABCA1	USF1	expression regulated by	<-	1.00
ABCA1	USF2	expression regulated by	<-	1.00
ABCA1	ZDHHC8	catalyzed by	<-	1.00
ABCA10	ABCA13	predicted	-	0.94
ABCA10	ABCA6	predicted	-	0.98
ABCA10	ABCA8	predicted	-	0.91
ABCA10	ABCA9	predicted	-	0.98
ABCA10	ABCC12	predicted	-	0.94
ABCA10	ABCG4	predicted	-	0.90
ABCA12	ABCA3	predicted	-	0.89
ABCA13	ABCA6	predicted	-	0.93
ABCA13	ABCA8	predicted	-	0.96
ABCA13	ABCA9	predicted	-	0.96
ABCA2	ABCA6	predicted	-	0.90
ABCA2	ABCB9	predicted	-	0.91
ABCA2	ABCD4	predicted	-	0.90
ABCA2	EGR1	expression regulated by	<-	1.00
ABCA2	SP3	expression regulated by	<-	1.00
ABCA2	SP4	expression regulated by	<-	1.00
ABCA4	RBP3	predicted	-	0.89
ABCA5	ABCA6	predicted	-	0.92
ABCA6	ABCA8	predicted	-	0.98
ABCA6	ABCA9	predicted	-	0.94
ABCA6	ABCC10	predicted	-	0.94
ABCA6	ABCC12	predicted	-	0.94
ABCA7	APOA1	complex	-	1.00
ABCA8	ABCA9	predicted	-	0.91
ABCA9	ABCB10	predicted	-	0.89
ABCA9	ABCC12	predicted	-	0.94
ABCA9	ABCG4	predicted	-	0.90
ABCB1	ABCB4	predicted	-	0.97
ABCB1	ABCC1	predicted	-	0.91
ABCB1	ABCC4	predicted	-	0.90
ABCB1	CDX2	GErel: expression by	<-	1.00
ABCB1	CEBPA	expression regulated by	<-	1.00
ABCB1	CEBPB	expression regulated by	<-	1.00
ABCB1	EGR1	expression regulated by	<-	1.00
ABCB1	EGR2	expression regulated by	<-	1.00
ABCB1	ETS1	expression regulated by	<-	1.00
ABCB1	HIF1A	expression regulated by	<-	1.00
ABCB1	JUN	expression regulated by	<-	1.00
ABCB1	NFKB1	expression regulated by	<-	1.00
ABCB1	RARA	expression regulated by	<-	1.00
ABCB1	SP1	expression regulated by	<-	1.00
ABCB1	TP53	expression regulated by	<-	1.00
ABCB1	WT1	expression regulated by	<-	1.00
ABCB10	ABCB7	predicted	-	0.91
ABCB10	ABCB8	predicted	-	0.94
ABCB10	GATA1	expression regulated by	<-	1.00
ABCB10	GATA2	expression regulated by	<-	1.00
ABCB10	SLC25A40	predicted	-	0.89
ABCB10	SLC25A47	predicted	-	0.90
ABCB10	TAL1	expression regulated by	<-	1.00
ABCB11	ABCB4	predicted	-	0.92
ABCB11	NR1H4	GErel: expression by	<-	1.00
ABCB4	NR1H4	GErel: expression by	<-	1.00
ABCB7	ABCB8	predicted	-	0.91
ABCB7	CIAPIN1	activate	->	1.00
ABCB7	FECH	predicted	-	0.91
ABCB7	NDOR1	activate	->	1.00
ABCB7	NUBP1	activate	->	1.00
ABCB7	NUBP2	activate	->	1.00
ABCB8	ABCC10	predicted	-	0.90
ABCB8	CCDC51	predicted	-	0.92
ABCB8	SLC25A47	predicted	-	0.91
ABCC1	ABCC2	predicted	-	0.93
ABCC1	ABCC3	predicted	-	0.93
ABCC1	ABCC4	predicted	-	0.96
ABCC1	RHOA	predicted	-	0.91
ABCC10	SV2C	predicted	-	0.91
ABCC11	ABCC12	predicted	-	0.95
ABCC12	ABCC6	predicted	-	0.94
ABCC2	ABCC3	predicted	-	0.93
ABCC2	ABCC4	predicted	-	0.92
ABCC2	NR1H4	GErel: expression by	<-	1.00
ABCC2	SLC9A3R1	predicted	-	0.91
ABCC3	ABCC4	predicted	-	0.92
ABCC8	ABCC9	predicted	-	0.91
ABCC8	CACNA1A	PPrel: indirect effect	-	1.00
ABCC8	CACNA1B	PPrel: indirect effect	-	1.00
ABCC8	CACNA1C	PPrel: indirect effect	-	1.00
ABCC8	CACNA1D	PPrel: indirect effect	-	1.00
ABCC8	CACNA1E	PPrel: indirect effect	-	1.00
ABCC8	CACNA1G	PPrel: indirect effect	-	1.00
ABCC8	GCK	predicted	-	0.92
ABCC8	KCNJ11	complex	-	1.00
ABCC8	KCNJ8	complex	-	1.00
ABCC8	PRKACA	PPrel: inhibited by; activated by	-	1.00
ABCC8	PRKACB	PPrel: inhibited by; activated by	-	1.00
ABCC8	PRKACG	PPrel: inhibited by; activated by	-	1.00
ABCC8	RAPGEF3	activated by	<-	1.00
ABCC8	RAPGEF4	PPrel: inhibited by; activated by	-	1.00
ABCC9	KCNJ11	complex	-	1.00
ABCC9	KCNJ8	complex	-	1.00
ABCD1	ABCD2	complex	-	1.00
ABCD1	ABCD3	complex	-	1.00
ABCD1	ABCD4	predicted	-	0.91
ABCD1	PEX19	complex; input	-	1.00
ABCD1	PEX3	complex; input	-	1.00
ABCD1	SLC27A2	predicted	-	0.96
ABCD2	ABCD3	complex	-	1.00
ABCD2	ABCD4	predicted	-	0.93
ABCD2	PEX19	complex; input	-	1.00
ABCD2	PEX3	complex; input	-	1.00
ABCD2	TFAP2A	expression regulated by	<-	1.00
ABCD3	ABCD4	predicted	-	0.94
ABCD3	EHHADH	predicted	-	0.90
ABCD3	PEX19	complex; input	-	1.00
ABCD3	PEX3	complex; input	-	1.00
ABCD4	LMBRD1	complex	-	1.00
ABCE1	EIF1	predicted	-	0.91
ABCE1	EIF1AX	predicted	-	0.96
ABCE1	EIF2S1	predicted	-	0.93
ABCE1	EIF3A	predicted	-	0.96
ABCE1	EIF3B	predicted	-	0.97
ABCE1	EIF3C	predicted	-	0.97
ABCE1	EIF3CL	predicted	-	0.92
ABCE1	EIF3E	predicted	-	0.91
ABCE1	EIF3F	predicted	-	0.91
ABCE1	EIF3G	predicted	-	0.97
ABCE1	EIF3H	predicted	-	0.91
ABCE1	EIF3I	predicted	-	0.95
ABCE1	EIF3J	predicted	-	0.96
ABCE1	EIF3K	predicted	-	0.92
ABCE1	EIF3L	predicted	-	0.92
ABCE1	EIF3M	predicted	-	0.95
ABCE1	EIF4A1	predicted	-	0.97
ABCE1	ETF1	predicted	-	0.99
ABCE1	FLNA	inhibite	-|	1.00
ABCE1	GSPT1	predicted	-	0.97
ABCE1	LSG1	predicted	-	0.89
ABCE1	LTV1	predicted	-	0.90
ABCE1	PA2G4	predicted	-	0.93
ABCE1	PDE12	reaction	-	1.00
ABCE1	RBM8A	predicted	-	0.92
ABCE1	RNASEL	complex; inhibit; input	-|	1.00
ABCE1	RPL10	predicted	-	0.91
ABCE1	RPL13A	predicted	-	0.94
ABCE1	RPL35A	predicted	-	0.90
ABCE1	RPL38	predicted	-	0.92
ABCE1	RPL4	predicted	-	0.91
ABCE1	RPL6	predicted	-	0.90
ABCE1	RPL7A	predicted	-	0.94
ABCE1	RPS14	predicted	-	0.95
ABCE1	RPS17	predicted	-	0.97
ABCE1	RPS25	predicted	-	0.92
ABCE1	RPS3A	predicted	-	0.98
ABCE1	RPS5	predicted	-	0.91
ABCE1	RPS9	predicted	-	0.95
ABCE1	SRM	predicted	-	0.90
ABCF1	DHX9	predicted	-	0.91
ABCF1	EFTUD2	predicted	-	0.89
ABCF1	EIF2S1	complex; input	-	1.00
ABCF1	EIF2S2	complex; input	-	1.00
ABCF1	EIF2S3	complex; input	-	1.00
ABCF1	HNRNPA0	predicted	-	0.90
ABCF1	IFI16	predicted	-	0.90
ABCF1	RPL27A	predicted	-	0.91
ABCF2	CASP9	PPrel: inhibition, indirect effect	-|	1.00
ABCF2	DCAF13	predicted	-	0.92
ABCF2	DKC1	predicted	-	0.89
ABCG1	ABCG4	predicted	-	0.91
ABCG1	ABCG5	predicted	-	0.91
ABCG5	ABCG8	complex	-	1.00
ABHD17A	ABHD17B	reaction	-	1.00
ABHD17A	ABHD17C	reaction	-	1.00
ABHD17A	HRAS	catalyze; inhibite	-	1.00
ABHD17A	KRAS	catalyze; inhibite	-	1.00
ABHD17A	LYPLA1	reaction	-	1.00
ABHD17A	NRAS	catalyze; inhibite	-	1.00
ABHD17B	ABHD17C	reaction	-	1.00
ABHD17B	HRAS	catalyze; inhibite	-	1.00
ABHD17B	KRAS	catalyze; inhibite	-	1.00
ABHD17B	LYPLA1	reaction	-	1.00
ABHD17B	NRAS	catalyze; inhibite	-	1.00
ABHD17C	HRAS	catalyze; inhibite	-	1.00
ABHD17C	KRAS	catalyze; inhibite	-	1.00
ABHD17C	LYPLA1	reaction	-	1.00
ABHD17C	NRAS	catalyze; inhibite	-	1.00
ABHD5	PLIN1	complex	-	1.00
ABHD5	PNPLA2	PPrel: binding/association	-	1.00
ABI1	ABI2	predicted	-	0.96
ABI1	ABL1	activated by; catalyzed by	<-	1.00
ABI1	ABL2	predicted	-	0.90
ABI1	ACTB	complex; input	-	1.00
ABI1	ACTG1	complex; input	-	1.00
ABI1	ACTR2	PPrel: activation; activate; complex; input	->	1.00
ABI1	ACTR3	PPrel: activation; activate; complex; input	->	1.00
ABI1	ACTR3B	PPrel: activation	->	1.00
ABI1	ACTR3C	PPrel: activation	->	1.00
ABI1	ARF1	PPrel: activated by	<-	1.00
ABI1	ARPC1A	PPrel: activation; complex; input	->	1.00
ABI1	ARPC1B	PPrel: activation; activate; complex; input	->	1.00
ABI1	ARPC2	PPrel: activation; activate; complex; input	->	1.00
ABI1	ARPC3	PPrel: activation; activate; complex; input	->	1.00
ABI1	ARPC4	PPrel: activation; activate; complex; input	->	1.00
ABI1	ARPC5	PPrel: activation; activate; complex; input	->	1.00
ABI1	ARPC5L	PPrel: activation	->	1.00
ABI1	BAIAP2	activated by; complex; input	<-	1.00
ABI1	BRK1	complex	-	1.00
ABI1	CYFIP1	complex	-	1.00
ABI1	CYFIP2	complex; input	-	1.00
ABI1	DIAPH1	activate	->	1.00
ABI1	DIAPH3	inhibit	-|	1.00
ABI1	EGF	activated by	<-	1.00
ABI1	EGFR	activated by	<-	1.00
ABI1	ENAH	predicted	-	0.93
ABI1	EPS8	complex; input	-	1.00
ABI1	EVL	predicted	-	0.95
ABI1	HRAS	predicted	-	0.91
ABI1	ITGA4	complex; input	-	1.00
ABI1	ITGB1	complex; input	-	1.00
ABI1	MAPK1	catalyzed by	<-	1.00
ABI1	MAPK3	catalyzed by	<-	1.00
ABI1	MINK1	predicted	-	0.91
ABI1	NCK2	predicted	-	0.91
ABI1	NCKAP1	complex; input	-	1.00
ABI1	NCKAP1L	complex	-	1.00
ABI1	RAC1	PPrel: activated by; activate; activated by; complex; input	<->	1.00
ABI1	RAC3	complex; input	-	1.00
ABI1	SOS1	complex; input	-	1.00
ABI1	TSC1	predicted	-	0.91
ABI1	USP6NL	input	-	1.00
ABI1	VCAM1	complex; input	-	1.00
ABI1	WASF1	complex	-	1.00
ABI1	WASF2	activate; complex	->	1.00
ABI1	WASF3	complex	-	1.00
ABI1	WASL	complex; input	-	1.00
ABI2	ABL1	predicted	-	0.92
ABI2	ABL2	predicted	-	0.90
ABI2	ACTR2	activate	->	1.00
ABI2	ACTR3	activate	->	1.00
ABI2	APPL2	predicted	-	0.90
ABI2	ARPC1B	activate	->	1.00
ABI2	ARPC2	activate	->	1.00
ABI2	ARPC3	activate	->	1.00
ABI2	ARPC4	activate	->	1.00
ABI2	ARPC5	activate	->	1.00
ABI2	BRK1	PPrel: inhibition; complex	-|	1.00
ABI2	CYFIP1	complex	-	1.00
ABI2	CYFIP2	complex	-	1.00
ABI2	HOMER3	predicted	-	0.90
ABI2	NCKAP1	complex	-	1.00
ABI2	NCKAP1L	complex	-	1.00
ABI2	RAC1	PPrel: inhibited by; activated by	-	1.00
ABI2	RAC2	PPrel: inhibited by	|-	1.00
ABI2	RAC3	PPrel: inhibited by	|-	1.00
ABI2	SH3KBP1	predicted	-	0.95
ABI2	SHANK3	predicted	-	0.93
